file,n,m,weighted,opt,algo,con,run,rec,del
fastestspeedrun/003-small3.wsoap,4,15,1,222509,pq,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,treap,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,hollow,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,set,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,gabow,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,lemon,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,atofigh,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,felerius,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,spaghetti,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,yosupo,0,0,0,0
fastestspeedrun/003-small3.wsoap,4,15,1,222509,matrix,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,pq,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,treap,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,hollow,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,set,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,gabow,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,lemon,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,atofigh,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,felerius,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,spaghetti,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,yosupo,0,0,0,0
fastestspeedrun/036-itsybitsycycles11.wsoap,11,120,1,699759,matrix,0,0,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,pq,3,5,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,treap,15,2,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,hollow,2,2,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,set,10,26,0,3
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,gabow,2,10,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,lemon,4,7,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,atofigh,2,26,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,felerius,3,0,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,spaghetti,7,0,0,0
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,yosupo,12,5,0,6
fastestspeedrun/014-biggish-maximal.wsoap,401,160800,1,5517650034,matrix,2,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,pq,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,treap,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,hollow,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,set,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,gabow,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,lemon,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,atofigh,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,felerius,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,spaghetti,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,yosupo,0,0,0,0
fastestspeedrun/041-tinycycles01.wsoap,41,1680,1,3039592,matrix,0,0,0,0
fastestspeedrun/012-small-maximal.wsoap,41,1680,1,2714678703,pq,0,0,0,0
