file,n,m,weighted,opt,algo,con,run,rec,del
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,pq,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,treap,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,hollow,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,set,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,gabow,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,lemon,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,atofigh,0,1,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,felerius,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,spaghetti,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,yosupo,0,0,0,0
networkrepository/moreno_oz.wsoap,218,2889,1,2000000502,matrix,0,0,0,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,pq,39,10,1,4
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,treap,127,26,1,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,hollow,32,74,1,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,set,203,26,4,129
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,gabow,35,133,1,23
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,lemon,23,92,2,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,atofigh,13,503,0,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,felerius,77,3,0,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,spaghetti,117,22,0,0
networkrepository/soc-epinions-trust-dir.soap,119131,952825,1,41599000545951,yosupo,119,11,0,370
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,pq,0,1,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,treap,1,6,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,hollow,0,6,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,set,1,2,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,gabow,0,2,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,lemon,0,1,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,atofigh,0,5,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,felerius,0,1,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,spaghetti,0,2,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,yosupo,1,7,0,0
networkrepository/rbsa480.wsoap,481,17568,1,1000004644,matrix,0,1,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,pq,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,treap,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,hollow,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,set,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,gabow,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,lemon,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,atofigh,0,1,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,felerius,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,spaghetti,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,yosupo,0,0,0,0
networkrepository/GD00_c.wsoap,639,1679,1,235000000415,matrix,1,1,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,pq,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,treap,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,hollow,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,set,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,gabow,0,1,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,lemon,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,atofigh,0,5,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,felerius,0,0,0,0
networkrepository/maayan-Stelzl.soap,1616,7720,1,6000012927,spaghetti,0,0,0,0
