file,n,m,weighted,opt,algo,con,run,rec,del
girgs/girg0200_2.soap,10001,1008858,1,1000010689,pq,24,142,0,1
girgs/girg0200_2.soap,10001,1008858,1,1000010689,treap,100,811,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,hollow,21,701,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,set,132,395,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,gabow,17,131,0,1
girgs/girg0200_2.soap,10001,1008858,1,1000010689,lemon,18,352,1,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,atofigh,11,724,0,14
girgs/girg0200_2.soap,10001,1008858,1,1000010689,felerius,47,121,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,spaghetti,73,357,0,0
girgs/girg0200_2.soap,10001,1008858,1,1000010689,yosupo,88,931,0,1
girgs/girg0200_2.soap,10001,1008858,1,1000010689,matrix,381,981,0,26
girgs/girg2000_5.soap,10001,10010010,1,1000009999,pq,290,2000,0,2
girgs/girg2000_5.soap,10001,10010010,1,1000009999,treap,1305,9846,0,1
girgs/girg2000_5.soap,10001,10010010,1,1000009999,hollow,193,9654,0,1
girgs/girg2000_5.soap,10001,10010010,1,1000009999,set,3027,5877,0,12
girgs/girg2000_5.soap,10001,10010010,1,1000009999,gabow,182,1558,0,2
girgs/girg2000_5.soap,10001,10010010,1,1000009999,lemon,250,1493,17,0
girgs/girg2000_5.soap,10001,10010010,1,1000009999,atofigh,148,3192,0,0
girgs/girg2000_5.soap,10001,10010010,1,1000009999,felerius,1389,3085,0,0
girgs/girg2000_5.soap,10001,10010010,1,1000009999,spaghetti,1146,6186,0,0
girgs/girg2000_5.soap,10001,10010010,1,1000009999,yosupo,898,11635,0,2
girgs/girg2000_5.soap,10001,10010010,1,1000009999,matrix,594,1032,0,25
girgs/girg1900_4.soap,10001,9509924,1,1000009999,pq,277,1898,0,2
girgs/girg1900_4.soap,10001,9509924,1,1000009999,treap,1231,9296,0,1
girgs/girg1900_4.soap,10001,9509924,1,1000009999,hollow,183,9184,0,1
girgs/girg1900_4.soap,10001,9509924,1,1000009999,set,2850,5274,0,11
girgs/girg1900_4.soap,10001,9509924,1,1000009999,gabow,175,1436,0,2
girgs/girg1900_4.soap,10001,9509924,1,1000009999,lemon,243,1420,16,0
girgs/girg1900_4.soap,10001,9509924,1,1000009999,atofigh,145,3089,0,0
girgs/girg1900_4.soap,10001,9509924,1,1000009999,felerius,1310,2916,0,0
girgs/girg1900_4.soap,10001,9509924,1,1000009999,spaghetti,1086,5901,0,0
girgs/girg1900_4.soap,10001,9509924,1,1000009999,yosupo,850,11028,0,1
girgs/girg1900_4.soap,10001,9509924,1,1000009999,matrix,585,1006,0,24
girgs/girg1600_4.soap,10001,8010362,1,1000009999,pq,227,1573,0,2
girgs/girg1600_4.soap,10001,8010362,1,1000009999,treap,997,7783,0,1
girgs/girg1600_4.soap,10001,8010362,1,1000009999,hollow,154,7583,0,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,set,2185,4378,0,10
girgs/girg1600_4.soap,10001,8010362,1,1000009999,gabow,123,1205,0,2
girgs/girg1600_4.soap,10001,8010362,1,1000009999,lemon,162,1227,12,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,atofigh,93,2545,0,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,felerius,923,2386,0,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,spaghetti,852,4654,0,0
girgs/girg1600_4.soap,10001,8010362,1,1000009999,yosupo,707,9177,0,1
girgs/girg1600_4.soap,10001,8010362,1,1000009999,matrix,547,998,0,24
girgs/girg0800_9.soap,10001,4004271,1,1000009999,pq,98,741,0,1
girgs/girg0800_9.soap,10001,4004271,1,1000009999,treap,468,3719,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,hollow,79,3562,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,set,809,1970,0,5
girgs/girg0800_9.soap,10001,4004271,1,1000009999,gabow,59,574,0,2
girgs/girg0800_9.soap,10001,4004271,1,1000009999,lemon,74,769,6,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,atofigh,36,1528,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,felerius,321,1072,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,spaghetti,378,2113,0,0
girgs/girg0800_9.soap,10001,4004271,1,1000009999,yosupo,347,4394,0,1
girgs/girg0800_9.soap,10001,4004271,1,1000009999,matrix,443,938,0,26
girgs/girg0700_9.soap,10001,3506755,1,1000010001,pq,86,636,0,1
girgs/girg0700_9.soap,10001,3506755,1,1000010001,treap,404,3255,0,0
girgs/girg0700_9.soap,10001,3506755,1,1000010001,hollow,70,3085,0,0
girgs/girg0700_9.soap,10001,3506755,1,1000010001,set,681,1684,0,0
girgs/girg0700_9.soap,10001,3506755,1,1000010001,gabow,56,486,0,2
girgs/girg0700_9.soap,10001,3506755,1,1000010001,lemon,68,600,5,0
girgs/girg0700_9.soap,10001,3506755,1,1000010001,atofigh,38,1419,0,0
