file,n,m,weighted,opt,algo,con,run,rec,del
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,pq,36,10,1,5
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,treap,104,26,1,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,hollow,29,64,1,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,set,167,27,5,94
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,gabow,37,102,1,14
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,lemon,21,69,2,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,atofigh,12,518,0,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,felerius,61,2,0,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,spaghetti,100,23,0,0
konect/wikisigned-k2.soap,137741,877295,1,7233001024890,yosupo,117,8,0,297
konect/subelj_jdk.soap,6435,157419,1,4067000012686,pq,3,0,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,treap,18,0,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,hollow,2,3,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,set,21,0,0,6
konect/subelj_jdk.soap,6435,157419,1,4067000012686,gabow,2,8,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,lemon,3,3,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,atofigh,2,33,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,felerius,12,0,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,spaghetti,9,0,0,0
konect/subelj_jdk.soap,6435,157419,1,4067000012686,yosupo,12,0,0,20
konect/subelj_jdk.soap,6435,157419,1,4067000012686,matrix,146,140,0,7
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,pq,59,10,1,4
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,treap,229,31,1,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,hollow,47,119,1,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,set,459,28,4,281
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,gabow,48,185,1,24
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,lemon,38,142,3,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,atofigh,23,603,0,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,felerius,168,3,0,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,spaghetti,221,25,0,0
konect/link-dynamic-simplewiki.soap,99637,1723010,1,24640000394782,yosupo,190,10,0,687
